"index","label","fileName","relativePath","kind","width","height","brightness","saturation","edge","sizeMB"
"177","177 F-0100","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0100.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0100.jpg","full-export","3600","2403","124.68","56.04","26.85","2.701"
"178","178 F-0101","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0101.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0101.jpg","full-export","3600","2403","136.81","61.01","25.69","2.427"
"179","179 F-0102","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0102.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0102.jpg","full-export","3600","2403","118.97","58.74","24.05","2.35"
"180","180 F-0103","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0103.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0103.jpg","full-export","3600","2403","133.23","0","28.71","1.838"
"181","181 F-0104","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0104.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0104.jpg","full-export","3600","2403","114.63","0","25.5","1.914"
"182","182 F-0106","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0106.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0106.jpg","full-export","3600","2403","148.75","52.68","23.99","2.011"
"183","183 F-0107","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0107.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0107.jpg","full-export","3600","2403","111.41","41.47","24.81","2.352"
"184","184 F-0108","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0108.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0108.jpg","full-export","3600","2403","127.65","60.92","31.39","2.645"
"185","185 F-0109","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0109.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0109.jpg","full-export","3600","2403","125.01","85.44","24.36","2.485"
"186","186 F-0110","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0110.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0110.jpg","full-export","3600","2403","111.31","84.59","26.26","2.636"
"187","187 F-0111","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0111.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0111.jpg","full-export","2403","3600","135.69","0","22.37","1.387"
"188","188 F-0112","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0112.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0112.jpg","full-export","3600","2403","121.17","0","36.55","1.886"
"189","189 F-0113","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0113.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0113.jpg","full-export","3600","2403","160.82","48.98","17.83","1.894"
"190","190 F-0114","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0114.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0114.jpg","full-export","3600","2403","119.6","50.43","30.55","2.41"
"191","191 F-0115","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0115.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0115.jpg","full-export","3600","2403","119.77","88.1","29.23","2.627"
"192","192 F-0116","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0116.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0116.jpg","full-export","3600","2403","120.5","82.93","27.71","2.523"
"193","193 F-0120","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0120.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0120.jpg","full-export","3600","2403","95.09","57.99","33.82","2.795"
"194","194 F-0121","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0121.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0121.jpg","full-export","3600","2403","81.08","66.09","35.86","2.49"
"195","195 F-0122","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0122.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0122.jpg","full-export","3600","2403","96.89","71.69","28.16","2.284"
"196","196 F-0123","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0123.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0123.jpg","full-export","3600","2403","52.48","43.47","19.96","2.001"
"197","197 F-0124","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0124.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0124.jpg","full-export","3600","2403","92.9","59.21","29.41","2.386"
"198","198 F-0125","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0125.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0125.jpg","full-export","3600","2403","100.71","0","26.34","2.345"
"199","199 F-0126","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0126.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0126.jpg","full-export","3600","2403","143.79","86.44","18.75","2.083"
"200","200 F-0127","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0127.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0127.jpg","full-export","3600","2403","139.89","79.17","19.82","2.272"
"201","201 F-0128","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0128.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0128.jpg","full-export","3600","2403","125.14","81.49","20.93","2.625"
"202","202 F-0129","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0129.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0129.jpg","full-export","3600","2403","95.85","103.42","18.07","2.94"
"203","203 F-0130","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0130.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0130.jpg","full-export","3600","2403","117.88","0","33.9","1.78"
"204","204 F-0131","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0131.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0131.jpg","full-export","3600","2403","117.67","77.25","30.57","2.611"
"205","205 F-0133","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0133.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0133.jpg","full-export","3600","2403","147.94","69.37","24.21","1.77"
"206","206 F-0135","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0135.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0135.jpg","full-export","3600","2403","134.41","60.88","24.08","2.088"
"207","207 F-0138","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0138.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0138.jpg","full-export","3600","2403","113.42","0","15.88","2.495"
"208","208 F-0146","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0146.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0146.jpg","full-export","3600","2403","99.62","81.64","25.39","3.538"
"209","209 F-0147","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0147.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0147.jpg","full-export","3600","2403","118.43","66.53","29.23","2.528"
"210","210 F-0148","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0148.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0148.jpg","full-export","3600","2403","106.42","71.59","30.04","2.541"
"211","211 F-0150","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0150.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0150.jpg","full-export","2404","3600","141.41","66.63","19.88","2.326"
"212","212 F-0153","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0153.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0153.jpg","full-export","3600","2406","144.61","76.16","26.51","2.644"
"213","213 F-0154","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0154.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0154.jpg","full-export","3600","2406","143.2","0","29.17","2.044"
"214","214 F-0155","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0155.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0155.jpg","full-export","3600","2403","134.98","89.17","22.4","2.211"
"215","215 F-0156","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0156.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0156.jpg","full-export","3600","2403","129.48","78.65","17.22","2.619"
"216","216 F-0157","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0157.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0157.jpg","full-export","3600","2403","111.19","91.19","25.01","3.094"
"217","217 F-0158","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0158.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0158.jpg","full-export","3600","2403","62.17","0","23.34","2.114"
"218","218 F-0159","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0159.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0159.jpg","full-export","3600","2403","125.2","0","26.32","2.223"
"219","219 F-0160","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0160.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0160.jpg","full-export","3600","2403","122.32","0","24.6","2.107"
"220","220 F-0161","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0161.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0161.jpg","full-export","3600","2403","112.69","0","25.62","2.271"
"221","221 F-0162","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0162.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0162.jpg","full-export","3600","2403","129.65","0","33.95","2.229"
"222","222 F-0164","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0164.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0164.jpg","full-export","2403","3600","115.86","63.77","18.05","2.382"
"223","223 F-0167","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0167.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0167.jpg","full-export","2403","3600","145.44","0","24.39","1.731"
"224","224 F-0168","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0168.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0168.jpg","full-export","2403","3600","130.43","0","27.18","1.756"
"225","225 F-0169","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0169.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-0169.jpg","full-export","2403","3600","124.87","72.05","24.72","2.512"
"226","226 H-0001","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0001.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0001.jpg","highlight-export","2403","3600","157.2","46.84","13.1","1.752"
"227","227 H-0002","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0002.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0002.jpg","highlight-export","2403","3600","142.3","35.46","21.64","1.912"
"228","228 H-0003","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0003.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0003.jpg","highlight-export","2406","3600","134.67","28.77","28.85","2.201"
"229","229 H-0004","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0004.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0004.jpg","highlight-export","2403","3600","121.72","29.41","23.38","1.792"
"230","230 H-0005","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0005.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0005.jpg","highlight-export","3600","2403","102.61","45.94","22.01","3.197"
"231","231 H-0006","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0006.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0006.jpg","highlight-export","3600","2403","145.38","44.07","19.74","1.913"
"232","232 H-0007","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0007.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0007.jpg","highlight-export","3600","2403","134.43","58.24","27.85","2.492"
"233","233 H-0008","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0008.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0008.jpg","highlight-export","3600","2403","110.6","57.64","31.01","2.355"
"234","234 H-0009","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0009.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0009.jpg","highlight-export","3600","2403","99.98","34.95","32.08","2.014"
"235","235 H-0010","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0010.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0010.jpg","highlight-export","2403","3600","68.37","20.71","28.18","1.896"
"236","236 H-0011","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0011.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0011.jpg","highlight-export","2403","3600","86.72","21.88","29.2","2.364"
"237","237 H-0012","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0012.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0012.jpg","highlight-export","3600","2403","61.78","41","37.86","2.829"
"238","238 H-0013","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0013.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0013.jpg","highlight-export","2403","3600","91.52","109.36","17.6","2.522"
"239","239 H-0014","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0014.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0014.jpg","highlight-export","3600","2403","77.34","71.1","28.82","2.457"
"240","240 H-0015","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0015.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0015.jpg","highlight-export","3600","2403","87.58","63.68","26.46","2.401"
"241","241 H-0016","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0016.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0016.jpg","highlight-export","3600","3086","80.34","61.95","18.16","3.757"
"242","242 H-0017","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0017.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0017.jpg","highlight-export","3600","2403","121.02","0","27.12","1.329"
"243","243 H-0018","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0018.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0018.jpg","highlight-export","2403","3600","100.8","0","15.01","1.435"
"244","244 H-0019","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0019.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0019.jpg","highlight-export","3600","2403","138.07","53.16","31.94","2.178"
"245","245 H-0020","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0020.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0020.jpg","highlight-export","2407","3600","130.91","26.86","22.41","2.132"
"246","246 H-0021","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0021.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0021.jpg","highlight-export","2403","3600","121.61","25.03","22.92","2.04"
"247","247 H-0023","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0023.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0023.jpg","highlight-export","2403","3600","132.04","0","28.21","1.25"
"248","248 H-0024","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0024.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0024.jpg","highlight-export","2403","3600","148.78","29.82","15.76","1.673"
"249","249 H-0025","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0025.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0025.jpg","highlight-export","3600","2403","82.31","145.93","7.04","4.074"
"250","250 H-0026","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0026.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0026.jpg","highlight-export","2403","3600","97.66","95.5","28.25","2.215"
"251","251 H-0027","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0027.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0027.jpg","highlight-export","3600","2403","93.38","102.84","24.13","3.691"
"252","252 H-0028","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0028.jpg","Sonie-Stephen-Upstate-Syracuse-Historic-Theater-Indian-Wedding-2017-SPring-meadowlarkstills-lawrence-braun-HIGHLIGHTS-0028.jpg","highlight-export","3600","2403","116.6","103.95","18.33","3.755"
